"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Marcus Stroman","Blue Jays",".310","3.15","18.2 %","62.1 %","19.7 %","4.2 %","17.8 %","131","5.87","1169","1974","3143","35.1 %","38.0 %","26.9 %","20.4 %","48.2 %","31.4 %","13431"
"Luis Perdomo","Padres",".325","2.94","17.2 %","61.8 %","21.0 %","7.3 %","15.6 %","90","4.95","961","1597","2558","39.6 %","41.5 %","18.9 %","18.1 %","50.3 %","31.6 %","14682"
"Mike Leake","Mariners",".309","2.19","21.8 %","53.7 %","24.5 %","6.8 %","13.6 %","83","4.02","948","1831","2779","46.0 %","35.0 %","19.0 %","15.8 %","51.5 %","32.7 %","10130"
"Sonny Gray","Reds",".269","1.92","19.7 %","52.8 %","27.5 %","5.6 %","15.1 %","85","4.71","1014","1650","2664","43.9 %","35.1 %","21.1 %","16.8 %","55.3 %","28.0 %","12768"
"Zach Davies","Brewers",".302","1.84","22.6 %","50.2 %","27.2 %","8.4 %","12.0 %","126","5.93","1159","1930","3089","38.3 %","36.1 %","25.6 %","19.9 %","51.4 %","28.8 %","13183"
"Michael Fulmer","Tigers",".273","1.70","21.9 %","49.2 %","28.9 %","10.2 %","8.8 %","100","5.47","883","1596","2479","38.7 %","36.0 %","25.3 %","18.1 %","52.0 %","30.0 %","13218"
"Patrick Corbin","Nationals",".327","1.70","19.7 %","50.5 %","29.8 %","10.1 %","15.4 %","107","5.15","1093","1950","3043","37.2 %","38.5 %","24.3 %","18.4 %","50.2 %","31.4 %","9323"
"Martin Perez","Twins",".328","1.69","24.8 %","47.3 %","27.9 %","7.5 %","13.3 %","115","5.59","1191","1906","3097","39.4 %","34.9 %","25.7 %","15.2 %","51.5 %","33.3 %","6902"
"Aaron Nola","Phillies",".309","1.60","19.1 %","49.8 %","31.1 %","6.3 %","12.7 %","95","5.09","912","1753","2665","40.2 %","36.0 %","23.8 %","21.6 %","48.7 %","29.7 %","16149"
"Alex Cobb","Orioles",".282","1.58","22.0 %","47.8 %","30.2 %","7.1 %","13.0 %","87","4.37","1029","1820","2849","43.6 %","34.6 %","21.8 %","14.9 %","48.2 %","36.9 %","6562"
"Tanner Roark","Reds",".300","1.51","19.4 %","48.5 %","32.1 %","6.1 %","13.4 %","107","5.49","1158","1950","3108","42.0 %","33.1 %","24.9 %","16.0 %","56.1 %","27.9 %","8753"
"Andrew Cashner","Orioles",".266","1.51","19.2 %","48.6 %","32.2 %","9.8 %","8.6 %","100","5.40","1008","1628","2636","40.7 %","33.8 %","25.5 %","18.5 %","53.0 %","28.4 %","8782"
"Masahiro Tanaka","Yankees",".305","1.51","18.2 %","49.2 %","32.6 %","12.1 %","21.2 %","129","6.51","937","1873","2810","45.8 %","36.7 %","17.5 %","19.5 %","49.1 %","31.4 %","15764"
"Ivan Nova","White Sox",".299","1.48","23.4 %","45.7 %","31.0 %","8.7 %","15.8 %","82","3.95","897","1780","2677","41.6 %","37.9 %","20.5 %","16.6 %","48.7 %","34.8 %","1994"
"Trevor Bauer","Indians",".336","1.45","21.4 %","46.6 %","32.0 %","10.4 %","16.2 %","107","5.48","1217","1922","3139","41.4 %","33.1 %","25.5 %","15.0 %","50.6 %","34.4 %","12703"
"Clayton Kershaw","Dodgers",".267","1.45","18.9 %","47.9 %","33.1 %","9.7 %","15.9 %","98","5.04","792","1729","2521","43.3 %","34.5 %","22.2 %","23.5 %","49.1 %","27.4 %","2036"
"Stephen Strasburg","Nationals",".274","1.37","19.0 %","46.8 %","34.2 %","11.4 %","8.7 %","98","5.03","898","1844","2742","35.0 %","38.2 %","26.9 %","21.4 %","51.2 %","27.3 %","10131"
"German Marquez","Rockies",".316","1.36","21.7 %","45.2 %","33.1 %","8.0 %","15.4 %","99","5.50","913","1748","2661","37.5 %","35.1 %","27.4 %","17.7 %","47.8 %","34.5 %","15038"
"Gerrit Cole","Astros",".298","1.36","20.6 %","45.8 %","33.7 %","11.8 %","15.9 %","101","4.48","1153","2145","3298","40.4 %","31.5 %","28.1 %","23.9 %","44.8 %","31.3 %","13125"
"Corey Kluber","Indians",".267","1.33","22.1 %","44.5 %","33.4 %","11.5 %","13.5 %","118","5.21","940","2005","2945","38.9 %","36.1 %","25.1 %","24.4 %","46.7 %","28.9 %","2429"
"Zack Greinke","Diamondbacks",".285","1.33","18.0 %","46.8 %","35.2 %","9.6 %","13.4 %","126","5.60","1123","2040","3163","41.4 %","36.6 %","22.0 %","19.2 %","45.7 %","35.1 %","1943"
"Jake Arrieta","Phillies",".279","1.31","20.5 %","45.1 %","34.4 %","7.9 %","14.0 %","113","6.04","1025","1718","2743","40.5 %","35.7 %","23.8 %","20.0 %","50.5 %","29.4 %","4153"
"Jose Quintana","Cubs",".301","1.30","20.8 %","44.8 %","34.5 %","9.8 %","13.2 %","107","5.10","1202","1974","3176","43.8 %","32.2 %","24.0 %","18.2 %","49.2 %","32.6 %","11423"
"Drew Pomeranz","Giants",".310","1.24","21.9 %","43.2 %","34.9 %","10.7 %","11.2 %","128","6.63","1156","1924","3080","41.5 %","32.1 %","26.4 %","20.3 %","47.2 %","32.5 %","11426"
"Lance Lynn","Rangers",".244","1.22","19.8 %","44.0 %","36.2 %","11.6 %","14.2 %","97","4.69","1258","1893","3151","36.1 %","34.2 %","29.7 %","21.1 %","49.7 %","29.2 %","2520"
"Kevin Gausman","Braves",".336","1.21","22.1 %","42.7 %","35.2 %","9.7 %","14.8 %","92","4.44","1240","2117","3357","33.3 %","37.6 %","29.1 %","18.2 %","49.6 %","32.3 %","14107"
"Chris Archer","Pirates",".325","1.17","22.0 %","42.0 %","36.0 %","9.4 %","14.1 %","122","5.46","1212","2194","3406","36.1 %","34.2 %","29.7 %","13.2 %","47.4 %","39.4 %","6345"
"Jeff Samardzija","Giants",".303","1.14","22.1 %","41.5 %","36.5 %","8.7 %","13.8 %","89","3.86","1080","2193","3273","37.9 %","36.4 %","25.7 %","20.7 %","49.2 %","30.1 %","3254"
"Yu Darvish","Cubs",".283","1.11","22.4 %","40.7 %","36.8 %","8.4 %","15.1 %","88","4.24","1080","1974","3054","39.8 %","35.9 %","24.3 %","20.5 %","46.5 %","33.1 %","13074"
"Julio Teheran","Braves",".281","1.00","20.2 %","40.0 %","39.8 %","9.3 %","13.7 %","108","5.16","1067","2007","3074","41.6 %","34.4 %","24.1 %","21.1 %","48.5 %","30.4 %","6797"
"Robbie Ray","Diamondbacks",".267","1.00","19.5 %","40.3 %","40.3 %","8.2 %","15.6 %","108","6.00","1010","1705","2715","38.0 %","34.5 %","27.5 %","16.4 %","43.1 %","40.4 %","11486"
"Jason Vargas","Mets",".289","1.00","19.3 %","40.3 %","40.4 %","10.3 %","12.1 %","106","5.31","1086","1839","2925","48.8 %","32.2 %","19.0 %","17.9 %","49.4 %","32.7 %","8044"
"Ervin Santana","White Sox",".245","0.97","16.3 %","41.2 %","42.5 %","12.2 %","11.8 %","121","5.15","1185","2050","3235","46.4 %","32.4 %","21.2 %","22.3 %","49.8 %","27.9 %","3200"
"Chris Sale","Red Sox",".301","0.94","20.4 %","38.7 %","40.9 %","10.6 %","12.1 %","119","5.00","1085","2343","3428","38.4 %","35.2 %","26.4 %","18.5 %","51.8 %","29.7 %","10603"
"Jeremy Hellickson","Nationals",".246","0.80","21.3 %","34.9 %","43.8 %","11.6 %","15.1 %","89","4.88","967","1651","2618","45.4 %","28.7 %","25.9 %","19.9 %","48.2 %","32.0 %","4371"
"Max Scherzer","Nationals",".245","0.78","16.9 %","36.5 %","46.6 %","11.8 %","10.8 %","136","6.10","997","2114","3111","42.4 %","33.0 %","24.7 %","19.5 %","54.0 %","26.5 %","3137"
