"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Corey Kluber","Indians","4.72","-9.75","14.47","53.46","5.19","0.91","0.93","0.86","1.14","24","5.31","-0.13","0","0","2429"
"Max Scherzer","Nationals","4.47","-10.65","15.12","45.43","4.62","0.99","1.00","0.87","1.09","29","4.18","0.35","0","0","3137"
"Clayton Kershaw","Dodgers","4.18","-8.68","12.85","37.05","3.82","0.96","0.94","0.87","1.12","26","3.64","0.72","0","0","2036"
"Chris Sale","Red Sox","3.73","-12.36","16.09","38.99","3.83","0.97","0.98","0.86","1.16","31","4.09","-0.23","0","0","10603"
"Stephen Strasburg","Nationals","3.43","-9.40","12.83","34.96","3.51","0.94","0.92","0.86","1.17","27","3.07","0.57","0","0","10131"
"Justin Verlander","Astros","3.21","-12.53","15.75","31.27","3.04","0.98","0.96","0.88","1.28","33","2.18","1.11","0","0","8700"
"Zack Greinke","Diamondbacks","3.11","-12.42","15.53","31.94","3.02","0.97","0.95","0.87","1.00","31","3.58","-0.37","0","0","1943"
"Ervin Santana","White Sox","2.75","-13.04","15.79","28.22","2.75","0.97","0.91","0.88","1.14","28","2.06","0.78","0","0","3200"
"Drew Pomeranz","Giants","2.43","-11.86","14.29","27.25","2.63","0.99","0.91","0.87","1.15","32","1.17","1.28","0","0","11426"
"Alex Cobb","Orioles","2.22","-11.70","13.92","15.12","1.54","0.96","0.94","0.87","1.25","29","1.08","1.23","0","0","6562"
"Marcus Stroman","Blue Jays","2.18","-12.82","15.00","25.09","2.49","0.95","0.89","0.87","1.26","31","2.19","0.11","0","0","13431"
"Robbie Ray","Diamondbacks","2.04","-9.72","11.76","27.92","2.84","0.94","0.89","0.86","1.02","27","1.86","0.31","0","0","11486"
"Lance Lynn","Rangers","1.86","-12.19","14.05","18.01","1.89","0.99","0.94","0.88","1.22","33","0.89","0.98","0","0","2520"
"Andrew Cashner","Orioles","1.58","-11.79","13.38","19.70","1.90","1.03","0.93","0.88","1.10","28","1.18","0.36","0","0","8782"
"Aaron Nola","Phillies","1.53","-11.82","13.34","21.07","2.02","1.01","0.96","0.87","0.96","27","1.56","-0.05","0","0","16149"
"Trevor Bauer","Indians","1.49","-12.31","13.79","9.56","0.96","0.98","0.94","0.87","1.18","31","0.98","0.53","0","0","12703"
"Jason Vargas","Mets","1.18","-12.75","13.93","9.98","0.99","0.98","0.95","0.87","0.96","31","-0.03","1.23","0","0","8044"
"Yu Darvish","Cubs","0.98","-13.18","14.16","14.20","1.46","0.98","0.93","0.88","1.02","31","0.81","0.18","0","0","13074"
"Kevin Gausman","Braves","0.98","-12.80","13.77","0.91","0.07","0.92","0.84","0.88","1.01","34","-0.44","1.51","0","0","14107"
"Dylan Bundy","Orioles","0.96","-11.56","12.51","11.20","1.10","0.94","0.91","0.85","1.06","27","0.65","0.36","0","0","12917"
"German Marquez","Rockies","0.92","-12.08","13.00","12.85","0.95","0.96","0.92","0.88","1.08","29","0.53","0.43","0","0","15038"
"Jake Arrieta","Phillies","0.81","-11.10","11.91","5.33","0.62","0.92","0.86","0.87","1.13","30","0.62","0.26","0","0","4153"
"Patrick Corbin","Nationals","0.69","-13.45","14.14","3.92","0.27","0.95","0.87","0.87","0.84","32","-0.42","1.14","0","0","9323"
"Michael Fulmer","Tigers","0.67","-9.93","10.60","8.38","0.88","0.89","0.83","0.87","0.99","24","2.12","-1.37","0","0","13218"
"Zach Davies","Brewers","0.64","-13.55","14.19","9.65","1.03","0.96","0.88","0.88","1.17","33","0.80","-0.13","0","0","13183"
"Gerrit Cole","Astros","0.63","-14.96","15.60","8.90","0.89","0.98","0.94","0.88","0.86","33","0.20","0.44","0","0","13125"
"Masahiro Tanaka","Yankees","0.21","-12.10","12.31","-6.44","-0.70","0.90","0.85","0.87","0.90","29","0.09","0.15","0","0","15764"
"Mike Leake","Mariners","0.19","-13.21","13.39","0.63","0.05","0.94","0.91","0.88","1.00","31","0.76","-0.56","0","0","10130"
"Jeff Samardzija","Giants","-0.05","-14.17","14.12","-1.31","-0.02","0.88","0.86","0.87","1.03","31","0.93","-0.99","0","0","3254"
"Dan Straily","Orioles","-0.09","-12.84","12.75","-0.47","0.00","0.92","0.88","0.87","0.99","33","-0.88","0.78","0","0","9460"
"Ivan Nova","White Sox","-0.18","-13.45","13.27","-0.55","0.04","0.92","0.87","0.87","0.95","29","-0.23","0.04","0","0","1994"
"Martin Perez","Twins","-0.24","-14.44","14.21","-3.29","-0.22","0.97","0.87","0.87","1.20","32","-0.44","0.19","0","0","6902"
"Sonny Gray","Reds","-0.25","-12.07","11.82","6.23","0.64","0.94","0.89","0.87","0.93","26","0.71","-0.98","0","0","12768"
"Julio Teheran","Braves","-0.44","-13.93","13.49","-6.11","-0.69","0.94","0.85","0.87","1.03","32","-0.94","0.47","0","0","6797"
"Chris Archer","Pirates","-0.52","-15.77","15.26","1.10","0.16","0.99","0.92","0.87","1.15","34","-0.14","-0.38","0","0","6345"
"Jose Quintana","Cubs","-0.52","-12.85","12.33","7.63","0.77","0.90","0.82","0.86","0.91","31","1.28","-1.86","0","0","11423"
"Tanner Roark","Reds","-1.39","-14.22","12.83","-7.12","-0.77","0.98","0.92","0.88","1.11","30","-0.17","-1.25","0","0","8753"
"Luis Perdomo","Padres","-1.65","-14.76","13.12","-15.94","-1.59","1.06","0.88","0.88","1.17","29","-1.01","-0.53","0","0","14682"
"Jeremy Hellickson","Nationals","-2.34","-13.87","11.53","-21.49","-2.17","0.93","0.91","0.88","0.94","30","-1.17","-1.35","0","0","4371"
