"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Trevor Bauer","Indians","11.34","2.93","3.88","0.46","30.8 %","8.0 %","22.9 %",".206","1.09",".297","79.5 %","50","58","74","2.21","2.44","-0.23","3.14","3.21","12703"
"Patrick Corbin","Nationals","11.07","2.16","5.13","0.68","30.8 %","6.0 %","24.8 %",".217","1.05",".302","74.7 %","77","60","64","3.15","2.47","0.68","2.61","2.91","9323"
"Max Scherzer","Nationals","12.24","2.08","5.88","0.94","34.6 %","5.9 %","28.8 %",".187","0.91",".265","81.3 %","62","65","75","2.53","2.65","-0.12","3.06","2.71","3137"
"Gerrit Cole","Astros","12.40","2.88","4.31","0.85","34.5 %","8.0 %","26.5 %",".196","1.03",".286","77.9 %","70","65","72","2.88","2.70","0.17","3.04","2.91","13125"
"Justin Verlander","Astros","12.20","1.56","7.84","1.18","34.8 %","4.4 %","30.4 %",".198","0.90",".272","85.3 %","62","67","72","2.52","2.78","-0.26","3.03","2.63","8700"
"Carlos Carrasco","Indians","10.83","2.02","5.37","0.98","29.5 %","5.5 %","24.0 %",".235","1.13",".315","74.8 %","76","69","69","3.38","2.94","0.43","2.90","3.03","6632"
"Blake Snell","Rays","11.01","3.19","3.45","0.80","31.6 %","9.1 %","22.4 %",".176","0.97",".241","88.0 %","46","72","75","1.89","2.95","-1.05","3.16","3.30","13543"
"Aaron Nola","Phillies","9.49","2.46","3.86","0.72","27.0 %","7.0 %","20.0 %",".195","0.97",".251","82.5 %","59","72","79","2.37","3.01","-0.64","3.21","3.40","16149"
"Corey Kluber","Indians","9.29","1.42","6.53","1.05","26.4 %","4.0 %","22.3 %",".222","0.99",".276","77.9 %","65","74","73","2.89","3.12","-0.24","3.08","3.23","2429"
"Zack Wheeler","Mets","8.84","2.71","3.25","0.69","24.1 %","7.4 %","16.7 %",".221","1.12",".279","74.6 %","87","81","94","3.31","3.25","0.06","3.81","3.87","10310"
"Miles Mikolas","Cardinals","6.55","1.30","5.03","0.72","18.1 %","3.6 %","14.5 %",".241","1.07",".279","76.2 %","72","81","90","2.83","3.28","-0.46","3.67","3.93","9803"
"German Marquez","Rockies","10.56","2.62","4.04","1.10","28.2 %","7.0 %","21.2 %",".238","1.20",".311","73.2 %","81","78","76","3.77","3.40","0.36","3.10","3.31","15038"
"Marco Gonzales","Mariners","7.83","1.73","4.53","0.92","21.1 %","4.7 %","16.5 %",".265","1.22",".319","72.0 %","98","83","85","4.00","3.43","0.56","3.59","3.81","15467"
"Jameson Taillon","Pirates","8.43","2.17","3.89","0.94","22.8 %","5.9 %","16.9 %",".244","1.18",".298","79.8 %","81","86","88","3.20","3.46","-0.26","3.58","3.77","11674"
"Mike Clevinger","Indians","9.32","3.02","3.09","0.95","25.6 %","8.3 %","17.3 %",".222","1.16",".280","79.8 %","68","83","91","3.02","3.52","-0.51","3.86","3.86","12808"
"Charlie Morton","Rays","10.83","3.45","3.14","0.97","28.9 %","9.2 %","19.7 %",".211","1.16",".283","79.6 %","76","86","81","3.13","3.59","-0.47","3.42","3.52","4676"
"Zack Greinke","Diamondbacks","8.62","1.86","4.63","1.21","23.7 %","5.1 %","18.6 %",".229","1.08",".272","80.2 %","78","91","84","3.21","3.71","-0.50","3.44","3.60","1943"
