"Name","Team","IP","K/9+","BB/9+","K/BB+","HR/9+","K%+","BB%+","AVG+","WHIP+","BABIP+","LOB%+","ERA-","FIP-","xFIP-","LD%+","GB%+","FB%+","playerid"
"Blake Snell","Rays","180.2","130","100","130","65","143","110","71","74","82","121","46","72","75","89","106","100","13543"
"Trevor Bauer","Indians","175.1","134","92","144","38","139","96","83","83","101","110","50","58","74","100","105","94","12703"
"Aaron Nola","Phillies","212.1","111","74","149","66","120","81","80","75","86","113","59","72","79","88","115","88","16149"
"Justin Verlander","Astros","214.0","144","49","294","97","158","54","80","69","92","118","62","67","72","92","69","141","8700"
"Max Scherzer","Nationals","220.2","143","63","227","86","155","68","77","70","91","111","62","65","75","83","78","139","3137"
"Corey Kluber","Indians","215.0","110","45","245","86","119","49","90","76","94","108","65","74","73","105","105","91","2429"
"Mike Clevinger","Indians","200.0","110","95","116","78","116","100","90","88","95","110","68","83","91","96","95","108","12808"
"Gerrit Cole","Astros","200.1","146","90","162","70","156","97","79","79","97","108","70","65","72","101","85","117","13125"
"Miles Mikolas","Cardinals","200.2","76","39","194","66","81","41","100","83","95","104","72","81","90","102","112","83","9803"
"Carlos Carrasco","Indians","192.0","128","63","202","81","133","66","95","86","107","103","76","69","69","100","110","88","6632"
"Charlie Morton","Rays","167.0","128","108","118","80","131","111","85","89","96","110","76","86","81","105","112","83","4676"
"Patrick Corbin","Nationals","200.0","129","65","198","62","137","69","90","81","104","102","77","60","64","112","110","79","9323"
"Zack Greinke","Diamondbacks","207.2","101","56","179","111","106","59","95","83","93","110","78","91","84","106","103","93","1943"
"Trevor Williams","Pirates","170.2","78","88","88","72","80","91","94","91","90","105","79","96","112","100","93","109","16977"
"David Price","Red Sox","176.0","107","80","133","105","111","84","92","87","93","107","80","96","93","97","95","108","3184"
"German Marquez","Rockies","196.0","123","79","156","101","126","81","98","93","107","100","81","78","76","105","107","87","15038"
"Jameson Taillon","Pirates","191.0","98","66","150","86","102","68","101","91","102","109","81","86","88","102","105","92","11674"
"Kyle Gibson","Twins","196.2","97","114","85","86","98","115","96","99","96","104","83","96","92","105","117","77","10123"
"Mike Fiers","Athletics","172.0","86","61","138","137","88","62","100","90","91","116","84","112","106","82","93","119","7754"
"Cole Hamels","Cubs","190.2","104","95","110","115","105","96","99","97","99","105","85","105","95","110","105","89","4972"
"J.A. Happ","Yankees","177.2","115","81","142","112","119","84","90","86","92","103","85","92","92","82","95","116","7410"
"Kyle Hendricks","Cubs","199.0","85","60","141","91","88","63","100","88","96","103","86","93","95","99","107","92","12049"
"Jhoulys Chacin","Brewers","192.2","85","100","85","77","87","103","89","90","86","99","86","98","110","101","96","104","2608"
"Zack Wheeler","Mets","182.1","103","82","126","63","107","85","91","87","96","102","87","81","94","94","101","103","10310"
"Jose Berrios","Twins","192.1","111","90","124","96","115","92","89","87","92","105","88","91","92","95","98","105","14168"
"Derek Holland","Giants","171.1","104","106","97","91","104","107","97","100","99","104","92","101","100","112","90","104","4141"
"Kevin Gausman","Braves","183.2","85","76","112","107","86","77","107","100","102","106","92","101","100","97","107","94","14107"
"Reynaldo Lopez","White Sox","188.2","85","112","76","98","86","113","93","97","88","104","93","109","123","94","78","129","16400"
"Rick Porcello","Red Sox","191.1","105","71","149","104","106","72","96","90","96","98","96","96","91","96","104","98","2717"
"Julio Teheran","Braves","175.2","97","130","74","122","100","134","80","91","74","103","97","120","116","93","86","122","6797"
"Tyler Anderson","Rockies","176.0","98","91","107","140","99","93","101","98","96","98","98","106","104","110","83","115","12880"
"Marco Gonzales","Mariners","166.2","92","54","170","75","96","56","107","93","108","99","98","83","85","118","106","82","15467"
"Jake Arrieta","Phillies","172.2","84","90","93","100","85","91","103","99","98","93","99","103","100","91","117","83","4153"
"Jose Quintana","Cubs","174.1","95","106","90","118","95","106","100","102","97","105","100","109","103","103","98","100","11423"
"Jakob Junis","Royals","177.0","98","69","143","134","98","68","105","97","101","103","101","112","98","99","99","102","13619"
"Matthew Boyd","Tigers","170.1","99","85","117","117","101","87","91","88","88","98","102","104","111","100","68","137","15440"
"Jake Odorizzi","Twins","164.1","105","120","87","90","103","119","96","102","98","96","103","97","115","108","67","134","6397"
"Jose Urena","Marlins","174.0","78","80","98","90","81","83","99","91","93","100","104","105","106","83","113","94","11589"
"Luis Castillo","Reds","169.2","102","79","130","136","104","80","100","94","97","97","105","104","91","100","104","94","15689"
"Tanner Roark","Reds","180.1","85","75","113","110","86","76","107","99","101","100","106","105","109","99","93","110","8753"
"Ivan Nova","White Sox","161.0","74","59","126","133","74","59","110","99","99","101","106","113","105","94","104","99","1994"
"Mike Leake","Mariners","185.2","68","52","131","92","69","52","112","99","104","96","107","99","98","103","115","81","10130"
"Jon Gray","Rockies","172.1","112","82","136","129","110","81","109","104","110","93","110","94","85","102","108","89","14916"
"Zack Godley","Diamondbacks","178.1","109","124","88","74","104","118","105","112","111","92","116","94","97","106","111","82","14862"
"Dylan Bundy","Orioles","171.2","114","89","128","176","111","87","110","107","107","96","127","118","101","95","80","126","12917"
