"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Blake Snell","Rays","21","5","1.89","31","31","0","0","0","0","0","180.2","700","112","41","38","16","64","2","1","13","0","221","13543"
"Trevor Bauer","Indians","12","6","2.21","28","27","0","0","1","0","0","175.1","717","134","51","43","9","57","2","9","12","0","221","12703"
"Aaron Nola","Phillies","17","6","2.37","33","33","0","0","0","0","0","212.1","831","149","57","56","17","58","3","7","4","1","224","16149"
"Justin Verlander","Astros","16","9","2.52","34","34","1","1","0","0","0","214.0","833","156","63","60","28","37","0","8","5","2","290","8700"
"Max Scherzer","Nationals","18","7","2.53","33","33","2","1","0","0","0","220.2","866","150","66","62","23","51","4","12","4","1","300","3137"
"Miles Mikolas","Cardinals","18","4","2.83","32","32","1","1","0","0","0","200.2","808","186","70","63","16","29","4","7","2","1","146","9803"
"Gerrit Cole","Astros","15","5","2.88","32","32","1","1","0","0","0","200.1","799","143","68","64","19","64","0","7","9","0","276","13125"
"Corey Kluber","Indians","20","7","2.89","33","33","2","1","0","0","0","215.0","842","179","75","69","25","34","0","3","2","0","222","2429"
"Mike Clevinger","Indians","13","8","3.02","32","32","1","1","0","0","0","200.0","810","164","71","67","21","67","0","4","4","0","207","12808"
"Trevor Williams","Pirates","14","10","3.11","31","31","1","1","0","0","0","170.2","701","146","64","59","15","55","3","4","4","0","126","16977"
"Charlie Morton","Rays","15","3","3.13","30","30","0","0","0","0","0","167.0","695","130","63","58","18","64","0","16","4","0","201","4676"
"Patrick Corbin","Nationals","11","7","3.15","33","33","1","1","0","0","0","200.0","800","162","70","70","15","48","3","5","8","0","246","9323"
"Jameson Taillon","Pirates","14","10","3.20","32","32","2","1","0","0","0","191.0","785","179","69","68","20","46","4","6","2","0","179","11674"
"Zack Greinke","Diamondbacks","15","11","3.21","33","33","0","0","0","0","0","207.2","839","181","77","74","28","43","3","6","4","0","199","1943"
"Zack Wheeler","Mets","12","7","3.31","29","29","0","0","0","0","0","182.1","744","150","69","67","14","55","0","9","2","1","179","10310"
"Carlos Carrasco","Indians","17","10","3.38","32","30","2","0","0","0","0","192.0","784","173","78","72","21","43","4","6","9","0","231","6632"
"Kyle Hendricks","Cubs","14","11","3.44","33","33","0","0","0","0","0","199.0","812","184","82","76","22","44","4","9","0","0","161","12049"
"Jhoulys Chacin","Brewers","15","8","3.50","35","35","0","0","0","0","0","192.2","796","153","83","75","18","71","3","11","5","0","156","2608"
"Mike Fiers","Athletics","12","8","3.56","31","30","0","0","0","0","0","172.0","714","166","71","68","32","37","1","8","4","0","139","7754"
"Derek Holland","Giants","7","9","3.57","36","30","0","0","0","0","0","171.1","727","154","74","68","19","67","6","4","2","1","169","4141"
"David Price","Red Sox","16","7","3.58","30","30","1","0","0","0","0","176.0","722","151","75","70","25","50","0","10","1","0","177","3184"
"Kyle Gibson","Twins","10","13","3.62","32","32","0","0","0","0","0","196.2","826","177","88","79","23","79","2","4","8","0","179","10123"
"J.A. Happ","Yankees","17","6","3.65","31","31","0","0","0","0","0","177.2","733","150","81","72","27","51","0","9","4","1","193","7410"
"German Marquez","Rockies","14","11","3.77","33","33","0","0","0","0","0","196.0","817","179","90","82","24","57","5","8","8","0","230","15038"
"Cole Hamels","Cubs","9","12","3.78","32","32","1","0","0","0","0","190.2","806","176","93","80","29","65","0","19","7","3","188","4972"
"Jose Berrios","Twins","12","11","3.84","32","32","2","1","0","0","0","192.1","797","159","83","82","25","61","1","13","2","0","202","14168"
"Reynaldo Lopez","White Sox","7","10","3.91","32","32","0","0","0","0","0","188.2","799","165","88","82","25","75","1","10","7","3","151","16400"
"Kevin Gausman","Braves","10","11","3.92","31","31","0","0","0","0","0","183.2","776","189","85","80","26","50","1","7","6","0","148","14107"
"Julio Teheran","Braves","9","9","3.94","31","31","0","0","0","0","0","175.2","724","122","80","77","26","84","3","9","2","3","162","6797"
"Jake Arrieta","Phillies","10","11","3.96","31","31","0","0","0","0","0","172.2","724","165","93","76","21","57","0","7","11","1","138","4153"
"Jose Urena","Marlins","9","12","3.98","31","31","1","0","0","0","0","174.0","712","155","78","77","19","51","8","12","2","1","130","11589"
"Marco Gonzales","Mariners","13","9","4.00","29","29","1","0","0","0","0","166.2","686","172","76","74","17","32","0","6","2","0","145","15467"
"Jose Quintana","Cubs","13","11","4.03","32","32","0","0","0","0","0","174.1","739","162","81","78","25","68","3","3","3","0","158","11423"
"Ivan Nova","White Sox","9","9","4.19","29","29","0","0","0","0","0","161.0","683","171","82","75","26","35","4","4","9","1","114","1994"
"Rick Porcello","Red Sox","17","7","4.28","33","33","1","0","0","0","0","191.1","808","177","97","91","27","48","0","16","3","1","190","2717"
"Luis Castillo","Reds","10","12","4.30","31","31","0","0","0","0","0","169.2","708","158","89","81","28","49","1","5","4","2","165","15689"
"Tanner Roark","Reds","9","15","4.34","31","30","0","0","0","0","0","180.1","760","181","90","87","24","50","3","10","5","0","146","8753"
"Mike Leake","Mariners","10","10","4.36","31","31","0","0","0","0","0","185.2","784","207","98","90","23","34","3","6","2","0","119","10130"
"Jakob Junis","Royals","9","12","4.37","30","30","1","0","0","0","0","177.0","758","182","94","86","32","43","1","15","9","0","164","13619"
"Matthew Boyd","Tigers","9","13","4.39","31","31","0","0","0","0","0","170.1","709","146","87","83","27","51","0","11","6","2","159","15440"
"Jake Odorizzi","Twins","7","10","4.49","32","32","0","0","0","0","0","164.1","711","151","89","82","20","70","3","8","1","0","162","6397"
"Tyler Anderson","Rockies","7","9","4.55","32","32","0","0","0","0","0","176.0","737","165","94","89","30","59","1","3","9","2","164","12880"
"Zack Godley","Diamondbacks","15","11","4.74","33","32","0","0","0","0","0","178.1","791","177","103","94","16","81","2","12","17","1","185","14862"
"Jon Gray","Rockies","12","9","5.12","31","31","0","0","0","0","0","172.1","743","180","102","98","27","52","1","6","6","2","183","14916"
"Dylan Bundy","Orioles","8","16","5.45","31","31","1","0","0","0","0","171.2","750","188","116","104","41","54","1","6","6","1","184","12917"
