Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2019,"Marco Estrada","OAK",23.2,106,0.29090909,0.144578313,0.192771084,0.662650602,0.272727272,0.127272727,0.1875,0,0.4048,0.3333,0.2619,0.2738,0.3452,0.381,1118
2019,"Zack Greinke","ARI",29.1,118,0.965517241,0.259740259,0.363636363,0.376623376,0.034482758,0.275862068,0,0.333333333,0.425,0.375,0.2,0.15,0.45,0.4,1943
2019,"Ivan Nova","CHW",25.2,119,1.791666666,0.27173913,0.467391304,0.260869565,0.125,0.166666666,0.046511627,1,0.4409,0.3226,0.2366,0.2473,0.4516,0.3011,1994
2019,"Adam Wainwright","STL",25,107,1.52173913,0.194444444,0.486111111,0.319444444,0.130434782,0.130434782,0.028571428,0,0.4459,0.3243,0.2297,0.1892,0.4054,0.4054,2233
2019,"Corey Kluber","CLE",26,122,0.909090909,0.202531645,0.379746835,0.417721518,0.03030303,0.121212121,0.2,0,0.3418,0.3038,0.3544,0.1772,0.443,0.3797,2429
2019,"Lance Lynn","TEX",27.2,127,1,0.222222222,0.388888888,0.388888888,0.028571428,0.085714285,0.028571428,0.333333333,0.3656,0.3118,0.3226,0.129,0.4409,0.4301,2520
2019,"Jhoulys Chacin","MIL",28.1,122,0.916666666,0.148148148,0.407407407,0.444444444,0.083333333,0.194444444,0.09090909,0,0.4634,0.3049,0.2317,0.2073,0.3659,0.4268,2608
2019,"Max Scherzer","WSN",32.1,135,1.461538461,0.238095238,0.452380952,0.309523809,0.038461538,0.115384615,0.052631578,0,0.381,0.3214,0.2976,0.1905,0.4524,0.3571,3137
2019,"David Price","BOS",24,94,0.769230769,0.220338983,0.33898305,0.440677966,0.115384615,0.115384615,0.05,0,0.4407,0.339,0.2203,0.1525,0.4407,0.4068,3184
2019,"Jeff Samardzija","SFG",27,109,0.676470588,0.229729729,0.31081081,0.459459459,0.176470588,0.088235294,0,0.5,0.4211,0.3026,0.2763,0.1316,0.3421,0.5263,3254
2019,"Anibal Sanchez","WSN",27,130,0.911764705,0.277777777,0.344444444,0.377777777,0.058823529,0.117647058,0.129032258,0,0.3936,0.2872,0.3191,0.2234,0.5106,0.266,3284
2019,"Derek Holland","SFG",27,111,0.689655172,0.183333333,0.333333333,0.483333333,0.103448275,0.206896551,0,0,0.4444,0.3333,0.2222,0.2222,0.3175,0.4603,4141
2019,"Jake Arrieta","PHI",34,136,1.5,0.166666666,0.5,0.333333333,0,0.125,0.041666666,0,0.3646,0.4583,0.1771,0.1563,0.4896,0.3542,4153
2019,"Jordan Zimmermann","DET",27.1,112,0.864864864,0.188235294,0.376470588,0.435294117,0.135135135,0.135135135,0.0625,0,0.4235,0.2471,0.3294,0.1176,0.5294,0.3529,4505
2019,"Charlie Morton","TBR",26.2,110,1.428571428,0.163934426,0.491803278,0.344262295,0.095238095,0.095238095,0.1,0,0.3443,0.2951,0.3607,0.2131,0.5574,0.2295,4676
2019,"Felix Hernandez","SEA",25.1,108,1.653846153,0.1375,0.5375,0.325,0,0.115384615,0.069767441,0,0.5062,0.3827,0.1111,0.1358,0.4321,0.4321,4772
2019,"Matt Shoemaker","TOR",28.2,108,1.407407407,0.121621621,0.513513513,0.364864864,0.148148148,0.111111111,0.078947368,0,0.5541,0.2027,0.2432,0.1757,0.4189,0.4054,4776
2019,"Cole Hamels","CHC",31.1,125,2.130434782,0.142857142,0.583333333,0.273809523,0.086956521,0.173913043,0.061224489,0,0.4588,0.4,0.1412,0.1059,0.4824,0.4118,4972
2019,"Michael Pineda","MIN",24,99,0.838709677,0.229729729,0.351351351,0.418918918,0.032258064,0.129032258,0.038461538,0,0.3919,0.3108,0.2973,0.1622,0.4054,0.4324,5372
2019,"Madison Bumgarner","SFG",32,126,1.032258064,0.258823529,0.376470588,0.364705882,0.064516129,0.161290322,0.09375,0.5,0.5056,0.3258,0.1685,0.1236,0.3933,0.4831,5524
2019,"Trevor Cahill","LAA",26.1,111,0.857142857,0.177215189,0.379746835,0.443037974,0.028571428,0.228571428,0,0,0.475,0.3625,0.1625,0.2,0.4125,0.3875,6249
2019,"Chris Archer","PIT",23,93,0.8,0.181818181,0.363636363,0.454545454,0.08,0.12,0.05,0.5,0.386,0.3509,0.2632,0.1754,0.4737,0.3509,6345
2019,"Jake Odorizzi","MIN",22.2,94,0.576923076,0.254545454,0.272727272,0.472727272,0.153846153,0.076923076,0,0.4,0.35,0.3833,0.2667,0.25,0.3833,0.3667,6397
