"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"J.D. Martinez","Red Sox",".327","0.89","18.5 %","38.3 %","43.2 %","6.8 %","33.8 %","7","5.9 %","0","0.0 %","38.3 %","32.8 %","28.9 %","14.0 %","37.0 %","49.0 %","6184"
"Domingo Santana","Mariners",".363","1.62","27.4 %","44.9 %","27.7 %","2.1 %","30.9 %","4","2.5 %","0","0.0 %","34.9 %","37.1 %","28.0 %","11.7 %","48.6 %","39.7 %","10348"
"Joey Gallo","Rangers",".250","0.51","17.9 %","27.9 %","54.2 %","11.8 %","30.1 %","3","4.3 %","0","0.0 %","49.6 %","29.4 %","21.0 %","14.7 %","38.9 %","46.4 %","14128"
"Michael Conforto","Mets",".328","1.00","24.4 %","37.8 %","37.8 %","10.1 %","27.3 %","10","10.1 %","0","0.0 %","32.4 %","39.7 %","27.9 %","20.2 %","38.2 %","41.6 %","16376"
"Khris Davis","Athletics",".290","0.91","19.3 %","38.4 %","42.3 %","6.3 %","26.9 %","9","6.2 %","0","0.0 %","34.4 %","42.3 %","23.3 %","13.5 %","44.4 %","42.1 %","9112"
"Tommy Pham","Rays",".368","1.98","22.2 %","51.7 %","26.1 %","7.0 %","26.7 %","16","9.4 %","1","33.3 %","36.8 %","34.9 %","28.3 %","15.4 %","49.1 %","35.5 %","2967"
"Justin Bour","Angels",".322","1.29","23.1 %","43.4 %","33.6 %","11.5 %","26.0 %","5","4.0 %","0","0.0 %","47.2 %","34.3 %","18.5 %","19.6 %","41.6 %","38.8 %","9744"
"Willson Contreras","Cubs",".319","1.81","17.4 %","53.3 %","29.3 %","9.9 %","25.9 %","16","10.9 %","3","50.0 %","43.6 %","35.5 %","20.9 %","17.0 %","47.5 %","35.5 %","11609"
"Josh Donaldson","Braves",".289","0.97","16.7 %","41.0 %","42.3 %","10.9 %","25.6 %","6","4.8 %","1","100.0 %","47.1 %","33.0 %","19.9 %","17.3 %","46.4 %","36.3 %","5038"
"Gary Sanchez","Yankees",".304","1.15","21.1 %","42.3 %","36.6 %","10.8 %","25.4 %","14","9.3 %","0","0.0 %","51.6 %","33.2 %","15.2 %","18.6 %","44.5 %","36.9 %","11442"
"Cody Bellinger","Dodgers",".299","0.75","17.6 %","35.3 %","47.1 %","8.4 %","25.2 %","9","7.8 %","6","75.0 %","42.4 %","34.7 %","22.9 %","14.0 %","43.0 %","43.0 %","15998"
"Paul Goldschmidt","Cardinals",".343","1.32","18.8 %","46.3 %","34.9 %","8.3 %","24.8 %","15","7.8 %","0","0.0 %","39.5 %","36.9 %","23.6 %","11.3 %","44.3 %","44.3 %","9218"
"Chris Davis","Orioles",".301","0.92","23.5 %","36.7 %","39.8 %","2.9 %","24.8 %","1","1.0 %","0","0.0 %","44.2 %","34.0 %","21.9 %","12.8 %","45.7 %","41.5 %","9272"
"Jake Marisnick","Astros",".320","0.77","15.4 %","36.8 %","47.8 %","9.2 %","24.6 %","4","8.0 %","4","57.1 %","39.9 %","30.1 %","30.1 %","18.2 %","53.2 %","28.7 %","11339"
"Eric Thames","Brewers",".309","0.93","20.3 %","38.4 %","41.3 %","4.0 %","24.6 %","6","5.1 %","0","0.0 %","45.4 %","28.1 %","26.5 %","16.0 %","42.5 %","41.5 %","3711"
