"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Chris Sale","Red Sox","12.93","1.81","7.16","1.01","36.2 %","5.1 %","31.1 %",".206","0.97",".301","78.4 %","63","56","60","2.90","2.45","0.44","2.65","2.58","10603"
"Corey Kluber","Indians","11.71","1.59","7.36","0.93","34.1 %","4.6 %","29.5 %",".192","0.87",".267","82.6 %","49","56","57","2.25","2.50","-0.25","2.52","2.68","2429"
"James Paxton","Yankees","10.32","2.45","4.22","0.60","28.3 %","6.7 %","21.6 %",".221","1.10",".300","75.5 %","72","60","74","2.98","2.61","0.37","3.25","3.45","11828"
"Stephen Strasburg","Nationals","10.47","2.41","4.34","0.67","29.1 %","6.7 %","22.4 %",".202","1.02",".274","77.9 %","57","63","76","2.52","2.72","-0.20","3.27","3.37","10131"
"Max Scherzer","Nationals","12.02","2.47","4.87","0.99","34.4 %","7.1 %","27.3 %",".176","0.90",".245","80.7 %","57","67","76","2.51","2.90","-0.39","3.28","2.98","3137"
"Clayton Kershaw","Dodgers","10.39","1.54","6.73","1.18","29.8 %","4.4 %","25.3 %",".210","0.95",".267","87.4 %","56","72","66","2.31","3.07","-0.76","2.84","3.04","2036"
"Luis Severino","Yankees","10.71","2.37","4.51","0.98","29.4 %","6.5 %","22.9 %",".207","1.04",".272","75.5 %","67","67","69","2.98","3.07","-0.10","3.04","3.25","15890"
"Brad Peacock","Astros","10.88","3.71","2.93","0.73","29.1 %","9.9 %","19.2 %",".216","1.22",".298","76.6 %","77","71","83","3.22","3.08","0.15","3.65","3.79","5401"
"Carlos Carrasco","Indians","10.17","2.07","4.91","0.95","28.3 %","5.8 %","22.6 %",".233","1.10",".307","78.2 %","72","70","74","3.29","3.10","0.18","3.24","3.35","6632"
"Jon Gray","Rockies","9.14","2.45","3.73","0.82","24.3 %","6.5 %","17.8 %",".263","1.30",".336","74.8 %","73","69","80","3.67","3.18","0.49","3.45","3.74","14916"
"Aaron Nola","Phillies","9.86","2.63","3.76","0.96","26.6 %","7.1 %","19.5 %",".240","1.21",".309","76.8 %","82","74","78","3.54","3.27","0.26","3.38","3.60","16149"
"Zack Greinke","Diamondbacks","9.56","2.00","4.78","1.11","26.8 %","5.6 %","21.2 %",".228","1.07",".285","75.3 %","70","76","77","3.20","3.31","-0.10","3.34","3.48","1943"
"Zack Godley","Diamondbacks","9.57","3.11","3.08","0.88","26.2 %","8.5 %","17.7 %",".220","1.15",".282","75.2 %","75","79","77","3.40","3.44","-0.03","3.34","3.70","14862"
"Danny Duffy","Royals","8.00","2.52","3.17","0.80","21.4 %","6.7 %","14.6 %",".254","1.26",".309","71.3 %","86","80","100","3.81","3.46","0.35","4.39","4.31","3542"
"Charlie Morton","Rays","10.00","3.07","3.26","0.86","26.4 %","8.1 %","18.3 %",".226","1.19",".294","73.0 %","86","80","81","3.62","3.46","0.16","3.58","3.70","4676"
"Jameson Taillon","Pirates","8.42","3.10","2.72","0.74","21.3 %","7.8 %","13.5 %",".283","1.48",".352","71.3 %","105","81","90","4.44","3.48","0.96","3.89","4.24","11674"
"Jacob deGrom","Mets","10.68","2.64","4.05","1.25","28.9 %","7.1 %","21.8 %",".235","1.19",".305","76.3 %","87","82","75","3.53","3.50","0.03","3.23","3.44","10954"
"Chase Anderson","Brewers","8.47","2.61","3.24","0.89","23.4 %","7.2 %","16.2 %",".217","1.09",".265","80.6 %","62","82","100","2.74","3.58","-0.84","4.33","4.14","6895"
"Danny Salazar","Indians","12.76","3.98","3.21","1.29","33.3 %","10.4 %","22.9 %",".241","1.36",".346","73.7 %","97","82","74","4.44","3.61","0.83","3.26","3.44","5867"
"Jeff Samardzija","Giants","8.88","1.39","6.41","1.30","24.2 %","3.8 %","20.4 %",".252","1.14",".303","67.5 %","105","88","83","4.42","3.61","0.81","3.60","3.63","3254"
"Michael Wacha","Cardinals","8.58","2.99","2.87","0.92","22.5 %","7.9 %","14.7 %",".264","1.36",".327","71.5 %","97","85","90","4.13","3.63","0.49","3.88","4.14","14078"
"Michael Fulmer","Tigers","6.23","2.19","2.85","0.71","16.9 %","5.9 %","11.0 %",".239","1.15",".273","65.6 %","87","83","96","3.83","3.67","0.15","4.24","4.48","13218"
"Jose Quintana","Cubs","9.87","2.91","3.39","1.10","26.2 %","7.7 %","18.5 %",".236","1.22",".301","71.4 %","96","84","86","4.15","3.68","0.47","3.73","3.80","11423"
"Mike Clevinger","Indians","9.95","4.26","2.33","0.87","27.1 %","11.6 %","15.5 %",".206","1.21",".269","80.4 %","62","84","92","2.84","3.70","-0.86","4.05","4.24","12808"
"Rich Hill","Dodgers","11.01","3.25","3.39","1.19","30.1 %","8.9 %","21.2 %",".200","1.09",".261","80.4 %","80","88","90","3.32","3.72","-0.40","3.88","3.61","4806"
"Robbie Ray","Diamondbacks","12.11","3.94","3.07","1.28","32.8 %","10.7 %","22.1 %",".197","1.15",".267","84.5 %","63","85","81","2.89","3.72","-0.83","3.49","3.53","11486"
"Luis Castillo","Reds","9.87","3.22","3.06","1.11","27.3 %","8.9 %","18.4 %",".198","1.07",".247","80.1 %","71","84","79","3.12","3.74","-0.62","3.41","3.63","15689"
"J.A. Happ","Yankees","8.79","2.85","3.09","1.11","22.7 %","7.4 %","15.3 %",".250","1.31",".302","76.6 %","81","85","90","3.53","3.76","-0.23","3.94","4.11","7410"
"Yu Darvish","Cubs","10.08","2.80","3.60","1.30","27.3 %","7.6 %","19.7 %",".226","1.16",".283","75.6 %","85","85","83","3.86","3.83","0.03","3.65","3.71","13074"
"Drew Pomeranz","Giants","9.02","3.58","2.52","0.98","23.5 %","9.3 %","14.2 %",".249","1.35",".310","80.0 %","72","88","94","3.32","3.84","-0.52","4.15","4.31","11426"
"Justin Verlander","Astros","9.57","3.15","3.04","1.18","25.8 %","8.5 %","17.3 %",".220","1.17",".271","79.7 %","77","87","95","3.36","3.84","-0.48","4.17","4.05","8700"
"Jose Berrios","Twins","8.61","2.99","2.88","0.94","22.6 %","7.9 %","14.8 %",".235","1.23",".288","70.4 %","88","86","103","3.93","3.86","0.06","4.51","4.29","14168"
"Seth Lugo","Mets","7.51","2.20","3.42","1.10","19.3 %","5.7 %","13.7 %",".281","1.38",".329","67.7 %","117","91","97","4.76","3.87","0.89","4.18","4.35","12447"
"Kyle Hendricks","Cubs","7.93","2.58","3.08","1.10","21.6 %","7.0 %","14.6 %",".239","1.19",".281","82.5 %","70","90","87","3.03","3.88","-0.85","3.76","4.08","12049"
"Trevor Bauer","Indians","9.99","3.07","3.25","1.28","26.1 %","8.0 %","18.1 %",".264","1.37",".336","76.7 %","92","88","82","4.20","3.90","0.30","3.61","3.81","12703"
"Marcus Stroman","Blue Jays","7.34","2.78","2.65","0.94","19.7 %","7.4 %","12.2 %",".262","1.31",".310","78.1 %","71","88","82","3.09","3.90","-0.81","3.58","3.85","13431"
"Mike Leake","Mariners","6.29","1.79","3.51","0.97","16.6 %","4.7 %","11.9 %",".273","1.28",".309","70.3 %","93","91","90","3.92","3.90","0.02","3.91","4.15","10130"
"Sonny Gray","Reds","8.48","3.16","2.68","1.05","22.6 %","8.4 %","14.2 %",".225","1.21",".269","69.6 %","82","88","86","3.55","3.90","-0.35","3.76","4.08","12768"
