"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Corey Kluber","Indians","18","4","2.25","29","29","5","3","0","0","0","203.2","777","141","56","51","21","36","2","5","4","0","265","2429"
"Clayton Kershaw","Dodgers","18","4","2.31","27","27","1","0","0","0","0","175.0","679","136","49","45","23","30","0","0","4","2","202","2036"
"Max Scherzer","Nationals","16","6","2.51","31","31","2","0","0","0","0","200.2","780","126","62","56","22","55","2","11","4","0","268","3137"
"Stephen Strasburg","Nationals","15","4","2.52","28","28","1","1","0","0","0","175.1","701","131","55","49","13","47","5","7","3","0","204","10131"
"Chase Anderson","Brewers","12","4","2.74","25","25","0","0","0","0","0","141.1","569","113","47","43","14","41","1","7","0","0","133","6895"
"Mike Clevinger","Indians","11","4","2.84","21","21","0","0","0","0","0","114.0","465","84","40","36","11","54","2","3","3","0","126","12808"
"Robbie Ray","Diamondbacks","15","5","2.89","28","28","1","1","0","0","0","162.0","665","116","57","52","23","71","3","5","8","0","218","11486"
"Chris Sale","Red Sox","17","8","2.90","32","32","1","0","0","0","0","214.1","851","165","73","69","24","43","0","8","3","0","308","10603"
"Gio Gonzalez","Brewers","15","9","2.96","32","32","0","0","0","0","0","201.0","827","158","69","66","21","79","5","7","7","0","188","7448"
"James Paxton","Yankees","12","5","2.98","24","24","0","0","0","0","0","136.0","552","113","47","45","9","37","1","3","15","1","156","11828"
"Luis Severino","Yankees","14","6","2.98","31","31","0","0","0","0","0","193.1","783","150","73","64","21","51","0","6","6","0","230","15890"
"Kyle Hendricks","Cubs","7","5","3.03","24","24","0","0","0","0","0","139.2","570","126","49","47","17","40","1","2","0","0","123","12049"
"Marcus Stroman","Blue Jays","13","9","3.09","33","33","2","0","0","0","0","201.0","834","201","82","69","21","62","1","6","3","1","164","13431"
"Luis Castillo","Reds","3","7","3.12","15","15","0","0","0","0","0","89.1","359","64","32","31","11","32","1","3","2","1","98","15689"
"Zack Greinke","Diamondbacks","17","7","3.20","32","32","1","0","0","0","0","202.1","801","172","80","72","25","45","0","0","12","0","215","1943"
"Brad Peacock","Astros","10","2","3.22","21","21","0","0","0","0","0","111.2","464","90","42","40","9","46","0","2","4","0","135","5401"
"Carlos Carrasco","Indians","18","6","3.29","32","32","1","0","0","0","0","200.0","798","173","73","73","21","46","2","10","10","0","226","6632"
"Drew Pomeranz","Giants","17","6","3.32","32","32","0","0","0","0","0","173.2","740","166","69","64","19","69","0","4","6","0","174","11426"
"Rich Hill","Dodgers","12","8","3.32","25","25","1","0","0","0","0","135.2","552","99","51","50","18","49","1","9","2","1","166","4806"
"Madison Bumgarner","Giants","4","9","3.32","17","17","1","0","0","0","0","111.0","450","101","41","41","17","20","3","3","0","0","101","5524"
"Justin Verlander","Astros","15","8","3.36","33","33","0","0","0","0","0","206.0","849","170","80","77","27","72","4","4","5","0","219","8700"
"Andrew Cashner","Orioles","11","11","3.40","28","28","0","0","0","0","0","166.2","704","156","75","63","15","64","0","9","10","1","86","8782"
"Zack Godley","Diamondbacks","8","9","3.40","25","25","0","0","0","0","0","153.1","622","124","61","58","15","53","2","5","13","0","163","14862"
"Lance Lynn","Rangers","11","8","3.43","33","33","0","0","0","0","0","186.1","776","151","80","71","27","78","5","10","2","0","153","2520"
"Taijuan Walker","Diamondbacks","9","9","3.49","28","28","0","0","0","0","0","157.1","684","148","76","61","17","61","7","9","7","1","146","11836"
"Jake Arrieta","Phillies","14","10","3.53","30","30","0","0","0","0","0","168.1","707","150","82","66","23","55","3","10","14","0","163","4153"
"J.A. Happ","Yankees","10","11","3.53","25","25","0","0","0","0","0","145.1","626","145","64","57","18","46","1","0","4","0","142","7410"
"Jacob deGrom","Mets","15","10","3.53","31","31","1","0","0","0","0","201.1","827","180","87","79","28","59","5","2","7","0","239","10954"
"Aaron Nola","Phillies","12","11","3.54","27","27","0","0","0","0","0","168.0","693","154","67","66","18","49","2","2","1","0","184","16149"
"Sonny Gray","Reds","10","12","3.55","27","27","1","0","0","0","0","162.1","678","139","79","64","19","57","1","3","11","0","153","12768"
"Charlie Morton","Rays","14","7","3.62","25","25","0","0","0","0","0","146.2","617","125","65","59","14","50","1","13","4","0","163","4676"
"Jon Gray","Rockies","10","4","3.67","20","20","0","0","0","0","0","110.1","461","113","47","45","10","30","0","2","3","1","112","14916"
"CC Sabathia","Yankees","14","5","3.69","27","27","0","0","0","0","0","148.2","623","139","64","61","21","50","1","5","5","0","120","404"
"Danny Duffy","Royals","9","10","3.81","24","24","0","0","0","0","0","146.1","609","143","67","62","13","41","0","4","2","2","130","3542"
"Michael Fulmer","Tigers","10","12","3.83","25","25","1","0","0","0","0","164.2","676","150","80","70","13","40","2","8","3","1","114","13218"
"Yu Darvish","Cubs","10","12","3.86","31","31","0","0","0","0","0","186.2","766","159","83","80","27","58","1","6","12","1","209","13074"
"Jordan Montgomery","Yankees","9","7","3.88","29","29","0","0","0","0","0","155.1","649","140","72","67","21","51","0","1","7","1","144","16511"
"Hyun-Jin Ryu","Dodgers","5","9","3.89","24","24","0","0","0","0","0","122.2","527","126","58","53","22","44","3","4","4","1","114","14444"
"Jhoulys Chacin","Brewers","13","10","3.89","32","32","0","0","0","0","0","180.1","765","157","82","78","19","72","5","14","7","1","153","2608"
"Zach Davies","Brewers","17","9","3.90","33","33","0","0","0","0","0","191.1","817","204","90","83","20","55","3","9","2","0","124","13183"
"Mike Leake","Mariners","10","13","3.92","31","31","0","0","0","0","0","186.0","782","201","93","81","20","37","3","9","3","0","130","10130"
"Jose Berrios","Twins","13","8","3.93","25","25","0","0","0","0","0","144.1","610","129","71","63","15","48","0","13","7","1","138","14168"
"Trevor Williams","Pirates","6","8","3.96","25","25","0","0","0","0","0","138.2","589","133","65","61","12","45","4","9","2","0","107","16977"
"Jose Urena","Marlins","14","7","3.97","28","28","0","0","0","0","0","154.1","659","134","73","68","24","61","4","14","4","1","105","11589"
"Blake Snell","Rays","5","7","4.04","24","24","0","0","0","0","0","129.1","547","113","65","58","15","59","1","0","8","0","119","13543"
"Patrick Corbin","Nationals","14","13","4.09","32","32","0","0","0","0","0","187.0","815","206","97","85","26","59","8","3","10","0","176","9323"
"JC Ramirez","Angels","9","10","4.11","24","24","0","0","0","0","0","142.1","596","142","69","65","20","47","0","6","5","0","102","8302"
"Michael Wacha","Cardinals","12","9","4.13","30","30","1","1","0","0","0","165.2","701","170","82","76","17","55","3","3","5","0","158","14078"
"Ivan Nova","White Sox","11","14","4.14","31","31","2","1","0","0","0","187.0","785","203","96","86","29","36","2","7","8","0","131","1994"
"Jake Odorizzi","Twins","10","8","4.14","28","28","0","0","0","0","0","143.1","604","117","80","66","30","61","1","2","1","0","127","6397"
"Kyle Freeland","Rockies","11","11","4.15","28","28","0","0","0","0","0","149.2","661","163","76","69","17","61","4","8","1","2","99","16256"
"Jose Quintana","Cubs","11","11","4.15","32","32","1","1","0","0","0","188.2","790","170","92","87","23","61","4","10","8","1","207","11423"
"Jason Vargas","Mets","18","11","4.16","32","32","1","1","0","0","0","179.2","756","181","84","83","27","58","2","5","6","1","134","8044"
"Jakob Junis","Royals","7","3","4.16","16","16","0","0","0","0","0","93.0","395","95","48","43","14","20","0","8","3","1","73","13619"
"Kendall Graveman","Cubs","6","4","4.19","19","19","0","0","0","0","0","105.1","444","114","50","49","12","32","1","4","5","0","70","15514"
"Edinson Volquez","Rangers","4","8","4.19","17","17","1","1","0","0","0","92.1","397","78","46","43","8","53","3","3","4","0","81","3990"
"Cole Hamels","Cubs","11","6","4.20","24","24","1","0","0","0","0","148.0","614","125","74","69","18","53","1","11","6","0","105","4972"
"Trevor Bauer","Indians","17","9","4.20","31","31","0","0","0","0","0","175.2","746","180","84","82","25","60","0","5","3","1","195","12703"
"Eduardo Rodriguez","Red Sox","6","7","4.22","24","24","0","0","0","0","0","136.1","579","126","66","64","19","50","1","5","1","1","148","13164"
"Dylan Bundy","Orioles","13","9","4.24","28","28","1","1","0","0","0","169.2","698","152","82","80","26","51","0","7","0","0","152","12917"
"Gerrit Cole","Astros","12","12","4.26","33","33","0","0","0","0","0","203.0","849","199","98","96","31","55","1","4","7","0","196","13125"
"Dan Straily","Orioles","10","9","4.26","33","33","0","0","0","0","0","181.2","769","176","90","86","31","60","4","5","2","0","170","9460"
"Ben Lively","Royals","4","7","4.26","15","15","1","0","0","0","0","88.2","372","90","45","42","13","24","1","8","1","1","52","14932"
"Jon Lester","Cubs","13","8","4.33","32","32","1","0","0","0","0","180.2","763","179","101","87","26","60","3","4","3","0","180","4930"
"Kenta Maeda","Dodgers","12","6","4.35","25","25","0","0","0","0","0","126.1","525","114","65","61","21","33","1","4","3","0","130","18498"
"Chad Kuhl","Pirates","8","11","4.35","31","31","0","0","0","0","0","157.1","680","159","81","76","17","72","7","6","8","1","142","14975"
"Felix Hernandez","Mariners","6","5","4.36","16","16","0","0","0","0","0","86.2","368","86","46","42","17","26","0","6","8","0","78","4772"
"Sean Manaea","Athletics","12","10","4.37","29","29","0","0","0","0","0","158.2","692","167","88","77","18","55","1","10","8","0","140","15873"
"German Marquez","Rockies","11","7","4.39","29","29","0","0","0","0","0","162.0","701","174","82","79","25","49","3","8","6","0","147","15038"
"Michael Pineda","Twins","8","4","4.39","17","17","0","0","0","0","0","96.1","410","103","55","47","20","21","0","2","5","1","92","5372"
"Jeff Samardzija","Giants","9","15","4.42","32","32","1","1","0","0","0","207.2","847","204","107","102","30","32","1","6","2","0","205","3254"
"Danny Salazar","Indians","5","6","4.44","19","19","0","0","0","0","0","97.1","415","89","50","48","14","43","0","3","5","0","138","5867"
"Jameson Taillon","Pirates","8","7","4.44","25","25","0","0","0","0","0","133.2","587","152","69","66","11","46","3","4","7","0","125","11674"
"Julio Teheran","Braves","11","13","4.49","32","32","0","0","0","0","0","188.1","812","186","103","94","31","72","3","7","6","0","151","6797"
"Adalberto Mejia","Twins","4","7","4.50","21","21","0","0","0","0","0","98.0","443","110","52","49","13","44","4","5","2","2","85","13188"
"Johnny Cueto","Giants","8","8","4.52","25","25","0","0","0","0","0","147.1","648","160","77","74","22","53","2","8","4","1","136","6893"
"Tyler Skaggs","Angels","2","6","4.55","16","16","0","0","0","0","0","85.0","365","90","46","43","13","28","0","6","5","2","76","10190"
"Dinelson Lamet","Padres","7","8","4.57","21","21","0","0","0","0","0","114.1","485","88","63","58","18","54","2","6","9","0","139","17186"
"Tanner Roark","Reds","13","11","4.57","30","30","0","0","0","0","0","175.1","750","171","100","89","22","63","5","6","3","1","162","8753"
"Rick Porcello","Red Sox","11","17","4.65","33","33","2","0","0","0","0","203.1","885","236","125","105","38","48","1","6","5","0","181","2717"
"Matt Andriese","Diamondbacks","5","5","4.66","17","17","0","0","0","0","0","83.0","363","89","48","43","16","27","1","4","3","2","76","12022"
"Luis Perdomo","Padres","8","11","4.67","29","29","0","0","0","0","0","163.2","716","182","97","85","17","65","3","8","11","2","118","14682"
"Kevin Gausman","Braves","11","12","4.68","34","34","0","0","0","0","0","186.2","816","208","99","97","29","71","0","5","8","1","179","14107"
"Jerad Eickhoff","Phillies","4","8","4.71","24","24","0","0","0","0","0","128.0","576","142","74","67","16","53","4","5","6","1","118","12664"
"Mike Foltynewicz","Braves","10","13","4.74","28","28","0","0","0","0","0","152.0","683","166","84","80","19","59","2","10","4","0","139","10811"
"Masahiro Tanaka","Yankees","13","12","4.74","30","30","1","1","0","0","0","178.1","752","180","100","94","35","41","1","7","7","0","194","15764"
"Tyler Chatwood","Cubs","8","14","4.75","25","25","1","1","0","0","0","136.1","582","127","74","72","19","71","2","2","7","2","109","4338"
"Seth Lugo","Mets","7","5","4.76","18","18","0","0","0","0","0","98.1","424","112","56","52","12","24","1","2","2","1","82","12447"
"Ty Blach","Giants","8","12","4.81","24","24","1","1","0","0","0","149.2","633","168","84","80","17","35","2","0","3","0","70","14361"
"Martin Perez","Twins","13","12","4.82","32","32","0","0","0","0","0","185.0","811","221","108","99","23","63","3","6","4","0","115","6902"
"Josh Tomlin","Braves","10","9","4.98","26","26","1","0","0","0","0","141.0","585","166","80","78","23","14","0","4","1","0","109","9388"
"Antonio Senzatela","Rockies","10","5","5.03","20","20","0","0","0","0","0","111.0","472","115","64","62","18","39","1","4","1","2","79","15488"
"Kyle Gibson","Twins","12","10","5.07","29","29","0","0","0","0","0","158.0","693","182","93","89","24","60","0","6","4","0","121","10123"
"Tyler Anderson","Rockies","5","6","5.11","15","15","0","0","0","0","0","81.0","344","86","48","46","16","25","0","2","4","2","74","12880"
