"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Marcus Stroman","Blue Jays",".326","3.11","17.9 %","62.1 %","20.0 %","3.0 %","13.6 %","46","4.05","641","1066","1707","47.0 %","33.8 %","19.2 %","21.0 %","45.8 %","33.2 %","13431"
"Brett Anderson","Athletics",".307","2.24","19.5 %","55.6 %","24.8 %","6.1 %","15.2 %","52","5.83","435","768","1203","43.2 %","35.8 %","21.0 %","17.3 %","47.2 %","35.4 %","8223"
"Wade Miley","Astros",".269","2.24","23.6 %","52.8 %","23.6 %","8.6 %","5.2 %","37","4.13","500","791","1291","49.6 %","32.0 %","18.4 %","19.5 %","43.4 %","37.1 %","8779"
"Dylan Covey","White Sox",".308","2.20","20.1 %","55.0 %","24.9 %","6.8 %","13.6 %","48","3.94","698","1165","1863","38.7 %","37.1 %","24.2 %","17.8 %","47.6 %","34.5 %","14825"
"Trevor Cahill","Angels",".284","2.00","19.4 %","53.7 %","26.9 %","6.6 %","10.5 %","65","5.52","686","1052","1738","44.5 %","38.0 %","17.5 %","13.4 %","46.6 %","40.1 %","6249"
"Tyler Chatwood","Cubs",".284","1.96","18.2 %","54.2 %","27.7 %","9.6 %","12.3 %","50","4.69","798","1007","1805","42.9 %","30.4 %","26.7 %","18.7 %","52.4 %","28.9 %","4338"
"Brad Keller","Royals",".306","1.91","19.4 %","52.9 %","27.7 %","9.0 %","6.0 %","64","4.88","706","1179","1885","44.5 %","30.6 %","24.9 %","19.4 %","48.6 %","32.0 %","15734"
"Lance Lynn","Rangers",".335","1.90","23.7 %","50.0 %","26.3 %","13.0 %","12.2 %","81","4.88","1121","1700","2821","37.7 %","34.3 %","28.1 %","21.2 %","44.1 %","34.7 %","2520"
"Noah Syndergaard","Mets",".320","1.84","24.4 %","49.0 %","26.7 %","9.5 %","7.8 %","94","5.48","821","1591","2412","40.9 %","34.8 %","24.4 %","25.3 %","52.8 %","21.9 %","11762"
"Jake Arrieta","Phillies",".287","1.80","19.8 %","51.6 %","28.6 %","10.2 %","14.3 %","92","4.80","987","1773","2760","40.4 %","37.1 %","22.5 %","18.5 %","53.9 %","27.7 %","4153"
"Patrick Corbin","Nationals",".302","1.79","24.3 %","48.5 %","27.2 %","5.9 %","11.1 %","84","3.78","1122","2020","3142","40.9 %","35.9 %","23.2 %","16.4 %","41.9 %","41.7 %","9323"
"Kyle Gibson","Twins",".285","1.78","22.2 %","49.8 %","28.0 %","10.3 %","14.8 %","90","4.12","1289","1954","3243","44.7 %","34.6 %","20.7 %","19.5 %","41.5 %","39.0 %","10123"
