"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Jacob deGrom","Mets","5.85","-12.63","18.48","52.57","5.70","1.14","1.06","0.88","1.01","31","4.62","0.52","0","0","10954"
"Blake Snell","Rays","5.01","-8.48","13.49","47.41","4.94","0.97","0.93","0.88","1.14","31","3.81","1.36","0","0","13543"
"Aaron Nola","Phillies","4.84","-11.71","16.55","43.54","4.62","1.02","1.01","0.88","1.20","33","3.78","0.97","0","0","16149"
"Max Scherzer","Nationals","4.84","-10.86","15.70","42.84","4.42","0.91","0.93","0.88","0.92","31","4.74","0.58","0","0","3137"
"Justin Verlander","Astros","4.70","-11.73","16.43","40.31","4.16","0.99","1.02","0.87","1.28","33","3.56","1.21","0","0","8700"
"Kyle Freeland","Rockies","4.11","-12.54","16.65","47.21","4.30","1.04","0.97","0.87","1.31","33","2.83","1.12","0","0","16256"
"Chris Sale","Red Sox","4.06","-6.99","11.05","44.54","4.35","0.91","0.91","0.87","0.96","27","4.00","0.48","0","0","10603"
"Corey Kluber","Indians","3.90","-10.49","14.39","37.76","3.62","0.85","0.88","0.87","1.07","31","4.17","0.39","0","0","2429"
"Trevor Bauer","Indians","3.31","-9.63","12.94","39.88","3.92","0.96","0.94","0.87","1.09","27","3.41","0.03","0","0","12703"
"Walker Buehler","Dodgers","3.01","-7.46","10.46","28.58","3.07","1.02","1.00","0.87","1.28","23","3.29","-0.35","0","0","19374"
"Gerrit Cole","Astros","2.99","-11.29","14.27","33.35","3.39","0.93","0.87","0.87","1.16","31","3.37","-0.15","0","0","13125"
"David Price","Red Sox","2.87","-10.54","13.41","23.81","2.36","0.97","0.93","0.88","1.30","29","2.75","0.20","0","0","3184"
"Charlie Morton","Rays","2.76","-10.29","13.05","19.96","2.05","1.03","0.95","0.87","1.20","30","1.78","0.90","0","0","4676"
"Patrick Corbin","Nationals","2.72","-12.31","15.03","27.09","2.81","1.01","0.95","0.87","1.27","32","3.75","-1.05","0","0","9323"
"Miles Mikolas","Cardinals","2.69","-11.52","14.22","25.17","2.74","0.97","0.91","0.88","1.08","31","3.17","-0.38","0","0","9803"
"Mike Clevinger","Indians","2.65","-12.49","15.14","38.79","3.79","0.94","0.90","0.87","0.93","31","2.69","0.11","0","0","12808"
"Carlos Carrasco","Indians","2.62","-10.90","13.52","25.04","2.48","0.94","0.92","0.86","0.96","28","3.03","-0.24","0","0","6632"
"Jameson Taillon","Pirates","2.49","-12.20","14.69","26.19","2.72","1.00","0.91","0.87","1.29","30","1.89","0.61","0","0","11674"
"Mike Foltynewicz","Braves","2.47","-9.98","12.45","25.31","2.67","0.91","0.86","0.88","0.91","29","2.99","-0.28","0","0","10811"
"Zack Wheeler","Mets","2.26","-11.02","13.28","14.58","1.60","1.02","0.92","0.88","1.08","29","2.34","-0.13","0","0","10310"
"Clay Buchholz","Blue Jays","2.25","-4.62","6.87","20.23","2.16","0.90","0.88","0.85","1.25","15","1.85","0.64","0","0","3543"
"Noah Syndergaard","Mets","2.23","-9.61","11.83","16.78","1.82","1.01","0.93","0.88","1.17","23","1.46","0.75","0","0","11762"
"Mike Fiers","Athletics","1.92","-10.36","12.28","19.54","1.97","0.91","0.89","0.87","1.19","30","0.65","1.45","0","0","7754"
"German Marquez","Rockies","1.77","-12.25","14.02","16.53","1.64","0.93","0.89","0.86","0.98","33","2.00","-0.09","0","0","15038"
"Jose Berrios","Twins","1.75","-12.86","14.62","20.14","2.00","0.98","0.94","0.87","1.22","30","1.96","-0.17","0","0","14168"
"Clayton Kershaw","Dodgers","1.72","-10.37","12.08","19.23","2.06","1.01","0.94","0.87","1.28","26","1.77","-0.08","0","0","2036"
"Zack Greinke","Diamondbacks","1.72","-12.54","14.26","25.81","2.69","0.92","0.94","0.89","1.07","33","2.14","-0.27","0","0","1943"
"Reynaldo Lopez","White Sox","1.69","-13.04","14.73","9.34","0.89","1.01","0.94","0.88","1.14","32","0.53","1.14","0","0","16400"
"Luis Severino","Yankees","1.65","-11.19","12.84","24.83","2.50","0.87","0.81","0.87","0.74","31","2.13","-0.23","0","0","15890"
"Anibal Sanchez","Nationals","1.64","-8.94","10.58","17.38","1.83","1.05","0.99","0.88","1.22","24","1.37","0.20","0","0","3284"
"Kyle Gibson","Twins","1.60","-12.31","13.92","18.67","1.82","0.92","0.87","0.88","0.98","32","0.70","1.04","0","0","10123"
"Jon Lester","Cubs","1.60","-11.65","13.25","12.97","1.35","0.93","0.89","0.87","1.19","32","-0.01","1.72","0","0","4930"
"Jhoulys Chacin","Brewers","1.59","-11.94","13.53","12.22","1.20","0.98","0.92","0.88","1.11","35","1.99","-0.36","0","0","2608"
"J.A. Happ","Yankees","1.56","-11.56","13.12","11.50","1.21","0.97","0.91","0.88","1.01","31","1.38","0.23","0","0","7410"
"Brad Keller","Royals","1.51","-8.18","9.69","13.72","1.38","1.04","0.95","0.87","1.60","19","1.39","0.07","0","0","15734"
"Trevor Williams","Pirates","1.50","-10.93","12.43","15.33","1.62","0.97","0.90","0.87","1.02","30","1.19","0.35","0","0","16977"
"Eduardo Rodriguez","Red Sox","1.33","-8.09","9.42","14.55","1.45","0.96","0.94","0.88","1.22","23","1.04","0.34","0","0","13164"
"Marco Gonzales","Mariners","1.31","-10.91","12.22","5.59","0.63","0.93","0.89","0.85","1.17","28","0.57","0.84","0","0","15467"
"Dereck Rodriguez","Giants","1.18","-6.87","8.05","12.98","1.36","0.97","0.96","0.87","1.34","19","1.25","-0.03","0","0","14509"
"Jack Flaherty","Cardinals","1.17","-9.86","11.03","15.21","1.61","0.97","0.95","0.88","1.17","28","0.93","0.28","0","0","17479"
"Tyler Anderson","Rockies","1.16","-11.75","12.91","4.72","0.32","0.93","0.92","0.88","1.41","32","0.78","0.46","0","0","12880"
"Mike Minor","Rangers","1.15","-10.52","11.67","11.17","0.92","0.94","0.90","0.86","1.01","28","1.32","-0.10","0","0","10021"
"Wade Miley","Astros","1.08","-5.73","6.80","9.39","0.97","1.12","1.00","0.88","1.27","16","1.16","-0.20","0","0","8779"
"Hyun-Jin Ryu","Dodgers","1.08","-4.22","5.30","13.60","1.53","0.86","0.89","0.87","0.99","15","1.19","0.06","0","0","14444"
"Kyle Hendricks","Cubs","1.00","-12.48","13.49","14.75","1.54","0.91","0.88","0.88","1.06","33","1.40","-0.31","0","0","12049"
"Jeremy Hellickson","Nationals","0.98","-5.61","6.59","6.09","0.66","0.98","0.97","0.89","1.30","19","0.66","0.34","0","0","4371"
"Masahiro Tanaka","Yankees","0.92","-9.94","10.86","13.86","1.49","0.90","0.88","0.85","1.17","26","1.48","-0.46","0","0","15764"
